firstname,lastname,exam1grade,exam2grade,exam3grade
Colton,Johnson,86,86,95
Jonathan,Gilbert,61,61,86
Stephanie,Alexander,91,56,89
Judith,Foster,51,85,85
Shane,Cole,88,58,63
Christopher,Sparks,66,83,76
Alison,Williams,61,58,86
David,Miller,79,82,98
Frank,Cook,89,84,73
Charles,Kelly,97,92,93
Nicole,Watson,95,52,74
Kristie,Smith,80,78,62
David,Ortiz,56,57,99
Bobby,Richardson,80,55,67
Wendy,Solis,72,51,62
Ashley,Ray,63,76,78
Victoria,Black,50,86,90
Alexis,Jackson,84,75,51
Danielle,Blake,71,55,78
Zachary,Fox,93,89,89
John,Austin,77,94,75
Kevin,Ward,86,58,65
Jesse,Melton,86,97,57
Rebecca,Cohen,95,94,99
Lisa,Riley,95,96,71
Tyler,Brown,89,100,73
Jerome,Mckinney,64,52,68
Debbie,Campbell,61,89,92
Nancy,Patrick,77,70,84
Julie,Wagner,96,64,86
Raymond,Scott,81,93,57
Robert,Acosta,70,67,76
Jessica,English,64,60,67
Cody,West,76,100,89
Hunter,Green,59,66,84
Jessica,King,80,75,95
Daniel,Gallagher,79,73,66
Brandon,Johnson,70,98,67
Jody,Johnson,50,96,84
Bobby,Myers,71,98,84
Elizabeth,Perez,93,63,96
Carol,Scott,64,88,67
Gabrielle,Dougherty,62,76,82
Diane,Carpenter,54,74,77
Kari,Drake,62,52,52
Jill,Benson,93,59,91
Daniel,Wilson,79,83,56
Michelle,Lee,67,82,65
William,Moyer,52,91,92
Kevin,Morris,55,69,93
Alison,Woods,51,69,75
Elizabeth,Sparks,86,93,100
David,Bender,71,51,74
Michelle,King,78,92,99
Earl,Phelps,65,93,75
Andrew,Miller,93,77,70
Mark,Wilson,86,59,72
Catherine,Jones,79,97,56
Marcus,Harris,95,70,92
Victoria,Mann,54,82,78
Dwayne,Fox,73,73,51
Shelley,Jefferson,71,83,70
Rachel,Martinez,71,68,78
Patrick,Davis,91,65,73
Patricia,Randall,51,71,85
Brent,Espinoza,74,51,86
Brian,Hall,68,62,74
Joseph,Dunn,92,84,80
Marcus,Jackson,90,90,68
Arthur,Parsons,82,60,72
Cameron,Gonzalez,99,50,65
Andrea,Webb,89,62,51
John,Nguyen,79,90,71
Rachel,May,56,64,88
Christopher,Rogers,80,95,99
Jerry,Hendricks,96,58,61
David,Mcdonald,68,89,51
Seth,Matthews,59,56,87
Sarah,Norton,54,62,84
Elijah,Torres,61,70,94
Bobby,Patel,93,91,71
Jason,Leon,67,70,85
Joy,Pearson,67,68,79
Danielle,Dixon,69,67,62
Martin,James,66,75,93
Stephanie,Edwards,57,73,88
Kimberly,Roberts,83,56,75
Lawrence,Fernandez,81,83,97
Erin,Freeman,74,89,87
Alicia,Allen,64,63,71
Nicole,Smith,60,63,64
Tiffany,Yoder,62,87,95
Jennifer,Perez,62,88,93
Gregory,Stewart,68,61,90
Alexander,Curry,81,100,59
Tammy,Mckinney,64,97,73
John,Moore,99,52,53
Joseph,Gutierrez,51,51,72
Daniel,Hernandez,70,52,53
Alexander,Frazier,88,78,81
Jennifer,Thompson,80,53,88
Christina,Peterson,100,73,71
Nathan,Compton,91,75,66
Michael,Schroeder,94,99,61
Angela,Miles,58,60,58
Jessica,Thompson,100,91,100
Kelly,Cruz,87,94,88
Kelly,Vega,57,91,70
John,Sanchez,100,89,100
Kristin,Webster,80,65,79
Kristina,Bishop,80,53,90
Troy,Guzman,68,66,68
Michelle,Logan,92,61,64
Christine,Banks,84,100,65
Jesse,Miller,90,57,86
Justin,Whitehead,65,86,98
David,Valentine,87,99,71
Ashley,Kelly,80,66,76
Matthew,Gomez,61,97,56
Holly,Krause,76,83,90
Paul,Scott,58,52,69
Heather,Norman,85,90,53
Elizabeth,Stone,90,69,91
Stephanie,Farrell,88,89,55
Michelle,Ferguson,88,81,68
Cheyenne,Zhang,85,73,97
Rachel,Wilkerson,71,78,93
Amy,Bryant,91,53,77
Rebecca,Walters,71,56,89
Laura,Harris,61,61,83
Ian,Harrison,51,54,87
Dwayne,Palmer,88,91,78
Amy,Williams,76,60,85
Justin,Anderson,96,89,80
Claudia,Willis,62,88,77
Kristina,Callahan,77,60,80
David,Jackson,87,99,92
Albert,Jones,82,86,71
Stacey,Smith,83,54,56
Stephen,Ortega,76,59,72
Marilyn,Lee,54,56,52
Raven,Pace,82,99,98
Crystal,Mahoney,92,84,53
Dale,Wheeler,87,63,61
Angela,Olsen,58,60,64
Jaime,Cox,72,63,98
Jacob,Watkins,83,50,68
Jessica,Combs,76,67,89
Sandra,Wright,92,66,66
Christopher,Hart,80,96,67
Laura,Duran,71,99,76
Brandon,Brennan,50,65,69
Brittany,Peterson,72,94,87
Emily,Archer,57,72,70
Jennifer,Taylor,100,72,85
Heather,Baker,78,72,61
Tina,Bender,92,73,85
Michael,Bush,67,66,63
Andrea,Holder,80,69,56
Alexandria,Hansen,50,65,76
Antonio,Smith,63,52,62
Brian,Rios,51,68,74
Jeffrey,Sanders,95,76,68
Jean,Martin,57,100,53
David,Cook,52,95,51
Ann,Long,85,100,73
Taylor,Chavez,94,65,96
Troy,Gilbert,97,98,76
Greg,Oliver,59,77,96
Melissa,Coleman,73,73,83
Jason,Chapman,85,94,89
Patricia,Harmon,57,73,96
Amy,Rodriguez,62,65,51
Jennifer,Braun,66,88,76
Lisa,Jimenez,84,86,74
Thomas,Rodriguez,92,67,93
Mitchell,Hahn,77,64,66
Jennifer,Mccall,52,72,66
Barry,Wallace,64,92,64
Raymond,Lowery,91,63,57
Carolyn,Roth,84,99,61
Samantha,Walker,53,96,51
Amanda,Martinez,88,84,69
Taylor,Hudson,66,85,73
Kevin,Hoffman,55,72,72
Krista,Floyd,83,73,70
Heather,Watkins,59,82,57
Shannon,Cisneros,62,87,94
Travis,Crawford,60,53,51
Kim,Duncan,71,71,85
Terry,Montoya,93,76,50
Shannon,Haney,100,94,74
Dylan,Mendoza,91,55,74
David,Rojas,63,91,52
Tristan,Russo,95,72,80
Miguel,Clay,72,66,99
Wayne,Ibarra,94,72,97
Mary,Adams,58,91,62
Corey,Johns,93,91,91
Diane,Murphy,78,62,78
Mary,Barnes,76,51,50
Jason,Gutierrez,53,88,97
Scott,Smith,59,56,94
Robert,Bautista,57,60,79
Robert,Brown,62,64,52
Abigail,Castaneda,67,75,67
Nicholas,Hudson,66,80,54
Eric,Pena,87,73,83
Bradley,Stevens,82,66,60
Maria,Lewis,82,60,86
Thomas,Hayes,93,74,92
Lisa,Zuniga,72,64,88
Arthur,Bond,99,82,66
Aaron,Soto,91,60,81
Kenneth,Richardson,76,94,98
Jeremy,Stevenson,57,73,59
James,Black,89,95,94
Paul,Mcclure,72,87,77
Susan,Rivas,83,65,65
Ryan,Tate,80,66,61
Maria,Reyes,53,66,59
Jerry,Odom,94,90,89
Jennifer,Carroll,79,84,87
Michael,Swanson,57,65,58
Ashlee,Moreno,52,81,65
Barry,Rivera,83,62,93
Kathryn,Fox,51,72,69
Megan,Meyer,78,62,62
Stephanie,Watts,68,80,92
Wanda,Williamson,56,95,92
James,Payne,78,76,62
Jennifer,Haas,81,77,88
Damon,Koch,74,81,93
John,Benson,83,78,61
Scott,Jimenez,57,77,91
Brandon,Sharp,99,57,76
Kellie,Lopez,52,55,92
Alicia,Wheeler,77,79,96
Michael,Holmes,50,52,72
Carl,Mullen,87,52,96
Julie,Jackson,75,61,91
Kathleen,Taylor,64,58,67
Julie,Branch,85,95,85
Elizabeth,Stewart,70,96,93
Jennifer,Harris,90,74,59
James,Parks,93,53,89
James,Santos,95,97,66
Dustin,Smith,100,92,71
Cynthia,Caldwell,100,54,54
Alyssa,Snyder,56,76,64
Kelli,Lawson,68,84,64
Taylor,Roberts,62,74,89
Jessica,Salinas,70,54,98
Melissa,Giles,95,82,60
Albert,King,97,89,79
Alex,Lopez,51,95,59
Jesus,Miller,77,81,66
Jennifer,Potter,96,51,80
Casey,Davis,72,75,56
Jeffrey,Wallace,88,81,99
Jeff,Johnson,83,66,81
Mary,Cohen,97,96,66
Ian,Thompson,93,75,95
Craig,Best,81,88,53
Amy,Moses,95,55,91
Michael,Salazar,51,96,99
Lori,Palmer,95,58,65
Martha,Wolf,56,50,81
Kenneth,Lam,99,76,62
Mark,Wilson,64,88,63
Carrie,Thompson,81,87,86
George,Pittman,78,85,66
David,Butler,62,97,67
Brittany,Herrera,71,50,99
Stephanie,Thomas,83,93,57
Ryan,Sanchez,59,82,96
Erica,Sanders,95,93,62
Norman,Wheeler,53,97,74
Diana,West,73,91,70
Anne,Johnson,68,86,95
Kelly,Novak,86,88,65
Bradley,Bishop,63,58,76
Eric,Cruz,63,57,77
Lori,Lee,51,51,75
Matthew,Atkins,56,84,63
Natalie,Solomon,70,60,69
Jason,Castaneda,96,68,53
Debra,Lopez,100,98,100
David,Day,87,98,95
Jose,Williams,58,60,81
Kim,Brown,96,58,61
Shelly,Gallagher,100,82,67
Michael,Armstrong,77,56,73
Andrew,Williams,78,64,74
Cynthia,Evans,60,82,76
Lisa,Johnson,78,57,60
Heather,Conner,79,54,92
David,Thompson,88,77,52
Stacy,Nichols,54,54,91
Scott,Herman,50,78,60
Derrick,Ross,52,85,63
David,Phillips,61,70,75
Deborah,Nguyen,77,89,52
William,Rodriguez,69,78,85
Michael,Manning,68,64,76
Darlene,Olson,86,61,86
Gerald,Mccarthy,96,78,91
Douglas,Love,50,50,91
Corey,James,50,83,60
Kim,Lopez,50,70,68
Sheryl,Johnson,50,53,66
Renee,Johnson,54,84,82
Heather,Jones,81,97,93
Joshua,Atkins,92,52,68
Dawn,Chen,59,100,76
Jeffrey,Clarke,53,100,50
Steven,Chavez,100,96,79
Anthony,Krause,78,89,89
Alicia,Duncan,65,95,95
Matthew,Higgins,69,71,81
Stephanie,Rivera,67,90,90
Jared,Campbell,75,87,61
Andrew,Jones,67,76,62
Melissa,Clark,59,55,58
John,Bernard,88,71,90
Rachel,Allen,67,61,82
Michele,Lee,70,81,87
Shawn,Murphy,67,97,53
Jessica,Miller,50,73,77
Catherine,Jones,93,90,60
Felicia,Robinson,91,78,67
Matthew,Bennett,77,71,84
Alexander,Sullivan,84,60,77
William,Moreno,64,68,73
James,Johnson,98,64,90
Cody,Key,89,57,68
Joshua,Roman,70,62,78
Robert,Sharp,74,65,72
Stacie,Rodriguez,64,93,92
Justin,Murray,63,87,79
Joshua,Jackson,56,79,79
Doris,Skinner,67,99,93
Laura,Chan,82,67,77
Elizabeth,Rios,100,73,63
Crystal,Maynard,76,60,94
Cheryl,Christian,62,95,65
Kelly,Taylor,70,79,59
Chase,Vang,72,86,89
Brandon,Wade,53,67,62
Mandy,Garcia,70,80,82
Mary,Hayes,90,90,76
Courtney,Schmitt,73,69,76
Jeremy,Barrett,100,74,77
Angela,Hall,87,58,70
Tiffany,Serrano,95,63,71
Kimberly,Zuniga,65,69,79
Matthew,Robinson,70,78,84
Philip,Robbins,76,74,67
Katherine,Silva,67,75,96
Robert,Walker,77,56,61
Kathy,Jones,53,73,50
Alejandra,Pratt,64,96,56
Daniel,Nash,59,68,58
Charles,Harrison,98,79,63
Michele,Bowman,84,83,78
William,Harrington,95,64,54
Renee,Aguilar,70,84,77
Denise,Torres,96,75,100
Adam,Allen,97,60,76
William,Nelson,82,61,69
Robert,Knight,74,74,77
Adam,Downs,96,87,78
Paul,Anderson,86,87,58
Priscilla,Foley,92,58,82
Michael,Kennedy,79,58,65
Henry,Fuller,69,83,83
Rebecca,Fuentes,57,75,68
Debbie,Walters,69,93,94
Patricia,Andrews,66,95,58
Cheryl,Lynch,95,76,80
Penny,Brown,73,88,85
Elizabeth,Huffman,94,86,76
Theresa,Fields,98,74,61
Anna,Fleming,95,80,99
Christopher,Clark,60,95,75
Elizabeth,Brown,89,74,88
Mallory,Garcia,59,93,83
Carolyn,Briggs,79,80,98
Micheal,Cabrera,59,56,53
Bethany,Richardson,85,53,69
Penny,Manning,94,67,87
Anthony,Dean,97,90,64
Gregory,Herman,74,89,78
Erica,Williams,80,83,53
Darin,Davis,86,83,96
Nicole,Miller,78,68,76
Claudia,Mullen,65,86,92
Jason,Miller,69,91,87
Brent,Singh,97,57,85
Jose,Clayton,94,53,66
Christina,Ingram,80,65,73
Brian,Castro,84,67,57
Eric,Collins,59,79,64
Thomas,Cruz,80,79,88
Glen,Clark,79,92,80
Elizabeth,Castillo,82,80,86
Scott,Ellison,58,99,94
John,Collins,92,94,91
Keith,Davis,69,64,93
Zachary,Baker,52,90,65
Andrea,Hebert,86,84,53
Danielle,Martin,52,70,73
Becky,Harmon,83,59,89
Melissa,Parsons,60,54,67
Brenda,Brewer,84,59,87
Jacob,Carroll,89,98,84
Sarah,Robinson,79,60,50
Michael,Cruz,80,88,62
Misty,Wong,83,62,73
Bradley,Taylor,98,52,80
Manuel,Mendez,64,57,75
Colin,Novak,74,53,62
Tanya,Mcgrath,73,77,55
Jeremy,White,63,55,82
Sarah,Foster,97,51,98
Abigail,Cline,67,88,67
Erik,May,83,51,69
Rebecca,Blanchard,64,89,64
Shannon,Hall,80,100,78
Jason,Elliott,94,67,65
Heather,Maldonado,70,54,56
Hunter,Kent,89,93,67
Kristen,Burns,93,97,56
Brenda,Hicks,71,68,64
Lisa,Johnson,83,52,66
Sara,Watson,88,53,85
Kimberly,Curtis,97,98,78
William,Smith,69,63,83
Sharon,Tyler,86,80,60
Michael,Mack,76,73,71
Paul,King,55,55,98
Robert,Clark,71,65,99
Edward,Crosby,58,51,83
Robert,Young,88,84,88
Ian,Sanchez,67,91,84
David,Moore,84,91,64
William,Vance,73,83,67
Kendra,Shaffer,71,72,92
Judith,Wilson,56,59,62
Lisa,Williams,57,74,90
Tom,Arnold,93,86,80
Valerie,Watts,53,82,61
April,Reese,68,69,62
Brandon,Ponce,60,100,66
Daniel,Mcdaniel,58,95,58
Gary,Harrington,65,61,66
Emily,Reed,87,88,78
Diane,Mann,85,56,99
Jeremiah,Bryant,79,89,51
Anne,Simmons,76,58,50
Ruben,Baker,74,61,65
Michele,Watson,69,75,78
Steve,Barry,87,82,86
Christina,Wong,99,79,52
Samuel,Gomez,70,86,57
Jeremy,Larson,75,86,68
Gloria,Tate,87,62,54
Lauren,Fox,66,59,88
Christopher,Harrington,82,95,90
Heidi,Wright,97,74,99
Shirley,Fischer,66,67,71
Ronald,Thompson,59,87,87
Melissa,Lewis,95,61,76
Sara,Hays,53,92,81
Heidi,Kim,85,58,60
Michael,Spencer,86,75,85
Alex,Blanchard,51,61,85
Tracy,Stephenson,50,89,63
Willie,Jensen,93,51,58
Cassandra,Reyes,78,64,56
George,Skinner,59,66,65
Maria,Zuniga,99,69,89
Dennis,Harris,94,64,76
Stephanie,Moreno,58,60,54
Christina,Hahn,99,93,57
Joshua,Vincent,55,87,62
Nicholas,Osborn,59,87,53
Tony,Mcguire,53,69,89
Maureen,Figueroa,71,94,69
Michael,Miller,56,53,94
Laura,Alexander,65,81,54
Aaron,Kennedy,72,79,88
James,Davis,96,54,95
Kevin,Chavez,68,87,72
Melissa,Coffey,76,67,100
Kimberly,Barton,72,100,57
Brett,Ayala,93,63,53
Leah,Cortez,72,55,67
Kim,Chen,96,69,64
Pamela,Rose,75,75,80
Anna,Young,70,52,100
Christopher,Sullivan,99,80,78
Robin,Holland,78,58,100
Kyle,Thompson,57,63,51
Michael,Wolfe,80,87,99
Ashley,Green,65,76,94
Christopher,Martin,71,73,58
Melissa,Martin,54,82,81
Michelle,Baker,64,92,100
Nathan,Callahan,86,99,86
John,Schwartz,98,88,96
Victoria,Rodriguez,95,55,66
Brandon,Lopez,76,80,71
Thomas,Jimenez,84,69,83
Tammy,Gonzalez,67,87,83
Audrey,Bush,91,58,53
Brandon,Boone,93,74,82
Charles,Patterson,50,74,82
Pam,Frank,60,54,84
Dylan,Adkins,53,83,88
Casey,Tapia,89,61,61
Michael,Wright,94,57,58
Elizabeth,Taylor,97,89,58
Michael,Long,68,61,86
Joseph,Fisher,96,52,77
Justin,Mclaughlin,73,58,96
Matthew,Brooks,51,78,65
Valerie,Graves,82,87,84
Jennifer,Sutton,76,74,73
Carly,Perez,78,56,72
Jason,Gomez,84,62,71
Sharon,Burton,64,89,58
Robert,Brown,59,98,89
Matthew,Brown,85,89,78
Sarah,Anderson,81,50,81
Melissa,Smith,80,69,90
Jacob,Cooper,68,56,59
Tammy,Cruz,72,76,65
Stephanie,Carlson,58,75,76
Eric,Ford,58,98,99
Christopher,Patel,97,91,50
Stuart,Hart,70,82,100
Gary,Cortez,55,50,86
Tommy,Luna,63,61,51
Christopher,Morris,78,56,94
Kenneth,Clements,72,64,93
Todd,Brown,86,89,73
Sean,Robbins,77,80,61
Jason,Long,69,68,62
Jesse,Thomas,68,100,79
Felicia,Anderson,64,93,54
Ashley,Gibson,95,85,70
Laura,Sloan,95,89,71
Tabitha,Fuller,78,55,100
Michael,Sosa,63,52,56
Travis,Diaz,92,57,79
Justin,Baldwin,96,61,80
Anna,Hansen,72,88,72
Kristopher,Aguilar,69,84,53
Heather,Rodriguez,76,85,57
Emily,Smith,98,67,78
Roger,Hill,86,87,56
Tracey,Mitchell,65,93,83
Jennifer,Richardson,73,69,77
Monica,Barrett,95,75,98
Kevin,Diaz,65,74,77
Pamela,Barrett,67,53,93
Kimberly,Lee,50,95,97
Travis,Turner,56,59,67
Philip,Dodson,100,77,50
Jasmine,Conrad,62,82,60
Samantha,Lee,78,69,51
Katherine,Fitzgerald,91,80,96
Angela,Campos,55,83,100
Christopher,Gomez,94,86,83
Jeffery,Richards,87,67,82
Edward,Reyes,86,79,75
Alison,Carrillo,96,59,57
Shawn,Alexander,87,97,100
Sharon,Cole,85,81,55
Cassandra,Cabrera,65,79,81
Kenneth,Watson,53,50,64
Angela,Decker,100,79,69
Matthew,Donovan,76,99,52
Brian,Zamora,59,57,58
Teresa,Perez,72,59,59
Douglas,Baker,85,64,73
Karen,Hudson,97,65,72
Nicholas,Hamilton,90,92,91
Mary,Flores,80,85,87
Rachel,Skinner,70,64,66
Catherine,Mckinney,86,89,99
Gloria,Flynn,98,53,58
Elizabeth,Ramirez,96,70,67
Cynthia,Allen,72,97,82
Erica,Farmer,80,78,80
Erica,Nunez,84,94,85
Brian,Thomas,58,58,56
Jennifer,Olson,63,61,94
Melissa,Green,97,97,88
David,Walters,82,69,79
Glenn,Perry,78,93,61
Kristina,Torres,79,93,66
Joseph,Morales,61,93,86
Patrick,Carson,53,83,58
Andrew,Friedman,96,54,64
Monica,Bailey,62,82,72
Gloria,Haynes,60,85,57
Kevin,Contreras,59,97,94
Chris,Gibson,96,83,83
Robert,Smith,77,52,94
Chase,Pierce,59,97,94
William,Perez,64,64,89
Edward,Murphy,61,85,96
Molly,Shepherd,94,88,99
Michelle,Peterson,82,69,84
Andrew,Turner,70,57,68
Melissa,Lewis,81,75,63
Duane,Ferrell,91,61,87
Kevin,Carroll,62,92,66
Charles,Black,93,95,83
Nicholas,White,96,73,88
Lisa,Grant,51,67,60
Patty,Powell,66,60,90
Sarah,Pena,60,82,55
Rhonda,Stafford,68,85,80
Timothy,Ramirez,77,81,99
Angela,Jenkins,97,85,93
Janet,Alexander,50,85,94
Tyler,Wagner,97,74,82
Carl,Lopez,74,95,60
Michelle,Wilkinson,53,78,55
Timothy,Bennett,76,72,79
Charles,Saunders,82,56,57
Sabrina,Morris,100,68,65
Frederick,Webster,79,71,81
Allison,Swanson,80,99,62
Caitlin,Martinez,51,88,73
Tiffany,Pineda,95,89,74
Dawn,Barnes,71,72,91
Amanda,Hicks,82,78,89
Christopher,Morrison,69,85,73
Daniel,Nelson,81,52,52
Troy,Russell,59,54,50
Teresa,Cervantes,50,93,51
James,Price,54,58,96
Lisa,Rogers,87,67,73
Jessica,Jones,53,91,64
Joshua,Bird,58,60,86
Sharon,Reeves,53,95,92
Cheryl,Barker,80,88,65
Christopher,Vasquez,65,77,78
Wayne,Kaiser,88,65,83
Julie,Wright,78,81,50
David,Henry,55,75,61
Taylor,Cooper,56,72,89
Stephen,Vega,66,69,55
Kimberly,Collins,82,66,84
Tamara,Alexander,52,61,75
Christine,Wilson,64,96,55
Sandra,Horne,78,85,73
Edward,Flowers,100,54,66
Stephanie,Lynn,85,83,69
Caitlin,Anderson,52,93,66
Troy,Phillips,70,55,95
Matthew,Alvarez,73,70,69
Edward,Myers,99,91,90
Jerry,Glover,78,77,54
Richard,Townsend,81,52,85
Ashley,Jackson,58,96,78
Cory,Daugherty,69,62,61
Jerry,Morgan,51,58,91
Terrance,Patel,95,95,70
Cheryl,Rodriguez,63,86,81
Alex,Bailey,57,88,68
Linda,Phillips,66,69,90
Anthony,Riley,84,85,68
Lindsay,Simpson,53,94,89
Katherine,Duncan,83,84,95
Jacob,Johnson,95,82,83
Pamela,Wilson,68,74,83
Sean,Velasquez,79,58,73
Shannon,Peters,69,61,78
George,Wilson,50,60,86
Joseph,Branch,72,71,90
Scott,Reynolds,62,68,70
Ross,Ray,80,63,51
Christopher,Burch,75,77,83
Nicole,Wright,63,71,74
James,Cardenas,77,66,56
Gary,Nguyen,59,71,95
Alicia,Matthews,65,59,53
Mark,Ferguson,58,67,79
Dustin,Carney,75,91,51
Jennifer,Robinson,63,79,56
Jeffrey,Collins,88,70,98
Nicole,Hawkins,94,80,70
Diana,Dunn,100,88,93
Keith,Kirby,88,53,76
Jean,Anthony,62,61,90
Marissa,Clark,81,72,75
John,Long,52,73,87
Elizabeth,Oconnell,52,71,77
Annette,Knight,81,68,65
Donna,Phillips,100,97,78
Heather,Berger,64,57,55
Kristi,Cortez,62,54,88
Dana,Maldonado,66,94,78
Sandra,Collins,70,98,70
Paula,Hubbard,100,83,66
Jeff,Miles,58,64,62
Tammy,Gonzalez,64,83,73
Henry,Hunter,79,52,99
Daniel,Cummings,81,69,54
Sue,Brown,62,68,53
Holly,Hodge,92,63,70
Marcia,Black,70,86,70
Alyssa,Christian,76,87,54
Matthew,Thomas,57,57,51
Elizabeth,Peterson,59,96,78
Ariel,Marquez,61,63,92
Benjamin,Benson,99,92,60
Paul,Garcia,54,89,96
Jose,Carlson,100,88,67
Michelle,Jackson,88,87,65
Gregory,Williams,98,59,89
Adam,Whitney,81,51,52
Kari,Watson,57,74,63
Charles,Smith,97,72,64
Mark,Smith,76,55,54
Jeffrey,Mccormick,66,95,74
Michael,Donovan,98,54,87
Kelly,Kennedy,62,52,56
Ashley,Hernandez,100,85,89
Danielle,Johnson,66,81,57
Clayton,Stout,59,70,66
Christopher,Good,73,81,74
Catherine,Church,56,66,60
Andrea,Johnston,96,96,87
Tamara,Long,84,78,96
Christopher,Kim,52,78,61
Katelyn,Taylor,76,63,66
Brian,Strickland,66,65,96
William,Moody,87,95,87
Sandra,Bonilla,98,69,63
Brandon,Leblanc,63,83,91
Austin,Torres,92,70,72
Charles,Ayers,69,72,72
Harold,Parks,69,51,74
Raven,Terry,62,57,92
Shelly,Flores,68,100,91
Jerry,Garner,65,85,60
Kelly,Dennis,97,61,94
Ashley,Lawson,100,77,72
Amy,Johnson,99,72,58
David,Wilson,73,58,98
Paul,White,61,68,100
Lauren,Bennett,87,93,81
Crystal,Thornton,55,95,74
Arthur,Duffy,54,73,53
Jane,Stephens,99,99,98
Judith,Moore,87,91,87
Bryan,Thompson,67,65,63
Sarah,Ruiz,62,98,75
Michael,Ray,82,81,53
Anthony,Miranda,91,75,87
Charles,Davis,69,60,69
Chelsea,Holden,100,91,61
Darrell,Garza,98,79,67
Christopher,Cervantes,68,69,72
Kevin,Swanson,80,78,92
Matthew,Lee,62,53,57
Kristen,Holmes,78,78,64
Brent,Anderson,94,81,59
Kenneth,Browning,90,68,63
Rachel,Brown,97,95,51
Elizabeth,Ward,76,69,80
Jennifer,Franklin,100,79,90
Gregg,Shepherd,73,74,97
Kimberly,Jones,51,62,80
Joshua,Cervantes,56,70,96
Vicki,Mckay,65,69,52
Kim,Chambers,60,64,50
Joshua,Collins,58,69,61
Ryan,Morrison,87,90,52
Bradley,Marquez,56,80,96
James,Rose,96,69,96
Jacob,Alvarez,85,79,64
Julia,Reilly,63,52,78
Mary,Brown,95,68,72
Norma,Phillips,69,81,69
Patrick,Washington,67,58,88
Jade,Martinez,53,93,58
Katrina,Chung,57,85,76
Kathleen,Brown,69,73,62
Patrick,Bender,54,90,81
Stacey,Carrillo,59,81,99
Heather,Smith,81,95,83
Jill,Black,50,86,68
Taylor,Robinson,100,73,59
David,Martin,81,73,97
Brian,Salazar,89,85,63
Wesley,Edwards,86,59,57
Karen,Todd,87,72,86
Claudia,Wade,70,73,90
Alicia,Jones,68,56,92
Matthew,Riley,100,79,69
Kelsey,Hamilton,57,52,90
Steven,Lang,93,99,65
Michelle,Lawson,61,60,65
Robert,Thomas,52,70,88
Eric,Schroeder,65,67,54
Patricia,Morris,50,88,87
John,Ross,76,93,97
Joanna,Campbell,64,59,91
Morgan,Hall,71,56,91
James,Mcguire,66,52,91
Megan,Vega,85,96,96
Charlene,Anderson,96,59,92
Adam,Hines,69,57,51
Cynthia,Calhoun,54,95,73
Hannah,Torres,66,58,87
Mark,May,82,89,62
Robert,Silva,75,57,56
Daniel,Thomas,100,58,57
Brian,Diaz,96,88,65
Amanda,Kerr,79,59,87
Christopher,Ramirez,100,70,63
Daniel,Gomez,68,65,54
Linda,Morgan,83,55,97
Theodore,Haynes,64,96,70
Benjamin,King,64,98,85
Beth,Brown,53,82,94
Robert,Sanchez,57,92,70
Megan,Dillon,60,81,87
Sheri,Robertson,85,59,69
Joshua,Thompson,73,92,99
Dennis,Thomas,93,61,62
Deborah,Richard,71,73,100
Jeffrey,Johnson,62,77,73
Keith,Barrett,81,68,97
Jessica,Peters,96,57,68
Mary,Gentry,95,74,100
Randy,Mccormick,93,72,82
Ashley,Yates,79,77,87
Sheena,Olson,54,73,64
