Name                    Exam1     Exam2     Exam3     Avg       
Susan Rivas             83        65        65        71.00     
Ryan Tate               80        66        61        69.00     
Maria Reyes             53        66        59        59.33     
Jerry Odom              94        90        89        91.00     
Jennifer Carroll        79        84        87        83.33     
Michael Swanson         57        65        58        60.00     
Ashlee Moreno           52        81        65        66.00     
Barry Rivera            83        62        93        79.33     
Kathryn Fox             51        72        69        64.00     
Megan Meyer             78        62        62        67.33     
Stephanie Watts         68        80        92        80.00     
Wanda Williamson        56        95        92        81.00     
James Payne             78        76        62        72.00     
Jennifer Haas           81        77        88        82.00     
Damon Koch              74        81        93        82.67     
John Benson             83        78        61        74.00     
Scott Jimenez           57        77        91        75.00     
Brandon Sharp           99        57        76        77.33     
Kellie Lopez            52        55        92        66.33     
Alicia Wheeler          77        79        96        84.00     
Michael Holmes          50        52        72        58.00     
Carl Mullen             87        52        96        78.33     
Julie Jackson           75        61        91        75.67     
Kathleen Taylor         64        58        67        63.00     
Julie Branch            85        95        85        88.33     
Elizabeth Stewart       70        96        93        86.33     
Jennifer Harris         90        74        59        74.33     
James Parks             93        53        89        78.33     
James Santos            95        97        66        86.00     
Dustin Smith            100       92        71        87.67     
Cynthia Caldwell        100       54        54        69.33     
Alyssa Snyder           56        76        64        65.33     
Kelli Lawson            68        84        64        72.00     
Taylor Roberts          62        74        89        75.00     
Jessica Salinas         70        54        98        74.00     
Melissa Giles           95        82        60        79.00     
Albert King             97        89        79        88.33     
Alex Lopez              51        95        59        68.33     
Jesus Miller            77        81        66        74.67     
Jennifer Potter         96        51        80        75.67     
Casey Davis             72        75        56        67.67     
Jeffrey Wallace         88        81        99        89.33     
Jeff Johnson            83        66        81        76.67     
Mary Cohen              97        96        66        86.33     
Ian Thompson            93        75        95        87.67     
Craig Best              81        88        53        74.00     
Amy Moses               95        55        91        80.33     
Michael Salazar         51        96        99        82.00     
Lori Palmer             95        58        65        72.67     
Martha Wolf             56        50        81        62.33     
Kenneth Lam             99        76        62        79.00     
Mark Wilson             64        88        63        71.67     
Carrie Thompson         81        87        86        84.67     
George Pittman          78        85        66        76.33     
David Butler            62        97        67        75.33     
Brittany Herrera        71        50        99        73.33     
Stephanie Thomas        83        93        57        77.67     
Ryan Sanchez            59        82        96        79.00     
Erica Sanders           95        93        62        83.33     
Norman Wheeler          53        97        74        74.67     
Diana West              73        91        70        78.00     
Anne Johnson            68        86        95        83.00     
Kelly Novak             86        88        65        79.67     
Bradley Bishop          63        58        76        65.67     
Eric Cruz               63        57        77        65.67     
Lori Lee                51        51        75        59.00     
Matthew Atkins          56        84        63        67.67     
Natalie Solomon         70        60        69        66.33     
Jason Castaneda         96        68        53        72.33     
Debra Lopez             100       98        100       99.33     
David Day               87        98        95        93.33     
Jose Williams           58        60        81        66.33     
Kim Brown               96        58        61        71.67     
Shelly Gallagher        100       82        67        83.00     
Michael Armstrong       77        56        73        68.67     
Andrew Williams         78        64        74        72.00     
Cynthia Evans           60        82        76        72.67     
Lisa Johnson            78        57        60        65.00     
Heather Conner          79        54        92        75.00     
David Thompson          88        77        52        72.33     
Stacy Nichols           54        54        91        66.33     
Scott Herman            50        78        60        62.67     
Derrick Ross            52        85        63        66.67     
David Phillips          61        70        75        68.67     
Deborah Nguyen          77        89        52        72.67     
William Rodriguez       69        78        85        77.33     
Michael Manning         68        64        76        69.33     
Darlene Olson           86        61        86        77.67     
Gerald Mccarthy         96        78        91        88.33     
Douglas Love            50        50        91        63.67     
Corey James             50        83        60        64.33     
Kim Lopez               50        70        68        62.67     
Sheryl Johnson          50        53        66        56.33     
Renee Johnson           54        84        82        73.33     
Heather Jones           81        97        93        90.33     
Joshua Atkins           92        52        68        70.67     
Dawn Chen               59        100       76        78.33     
Jeffrey Clarke          53        100       50        67.67     
Steven Chavez           100       96        79        91.67     
Anthony Krause          78        89        89        85.33     
Alicia Duncan           65        95        95        85.00     
Matthew Higgins         69        71        81        73.67     
Stephanie Rivera        67        90        90        82.33     
Jared Campbell          75        87        61        74.33     
Andrew Jones            67        76        62        68.33     
Melissa Clark           59        55        58        57.33     
John Bernard            88        71        90        83.00     
Rachel Allen            67        61        82        70.00     
Michele Lee             70        81        87        79.33     
Shawn Murphy            67        97        53        72.33     
Jessica Miller          50        73        77        66.67     
Catherine Jones         93        90        60        81.00     
Felicia Robinson        91        78        67        78.67     
Matthew Bennett         77        71        84        77.33     
Alexander Sullivan      84        60        77        73.67     
William Moreno          64        68        73        68.33     
James Johnson           98        64        90        84.00     
Cody Key                89        57        68        71.33     
Joshua Roman            70        62        78        70.00     
Robert Sharp            74        65        72        70.33     
Stacie Rodriguez        64        93        92        83.00     
Justin Murray           63        87        79        76.33     
Joshua Jackson          56        79        79        71.33     
Doris Skinner           67        99        93        86.33     
Laura Chan              82        67        77        75.33     
Elizabeth Rios          100       73        63        78.67     
Crystal Maynard         76        60        94        76.67     
Cheryl Christian        62        95        65        74.00     
Kelly Taylor            70        79        59        69.33     
Chase Vang              72        86        89        82.33     
Brandon Wade            53        67        62        60.67     
Mandy Garcia            70        80        82        77.33     
Mary Hayes              90        90        76        85.33     
Courtney Schmitt        73        69        76        72.67     
Jeremy Barrett          100       74        77        83.67     
Angela Hall             87        58        70        71.67     
Tiffany Serrano         95        63        71        76.33     
Kimberly Zuniga         65        69        79        71.00     
Matthew Robinson        70        78        84        77.33     
Philip Robbins          76        74        67        72.33     
Katherine Silva         67        75        96        79.33     
Robert Walker           77        56        61        64.67     
Kathy Jones             53        73        50        58.67     
Alejandra Pratt         64        96        56        72.00     
Daniel Nash             59        68        58        61.67     
Charles Harrison        98        79        63        80.00     
Michele Bowman          84        83        78        81.67     
William Harrington      95        64        54        71.00     
Renee Aguilar           70        84        77        77.00     
Denise Torres           96        75        100       90.33     
Adam Allen              97        60        76        77.67     
William Nelson          82        61        69        70.67     
Robert Knight           74        74        77        75.00     
Adam Downs              96        87        78        87.00     
Paul Anderson           86        87        58        77.00     
Priscilla Foley         92        58        82        77.33     
Michael Kennedy         79        58        65        67.33     
Henry Fuller            69        83        83        78.33     
Rebecca Fuentes         57        75        68        66.67     
Debbie Walters          69        93        94        85.33     
Patricia Andrews        66        95        58        73.00     
Cheryl Lynch            95        76        80        83.67     
Penny Brown             73        88        85        82.00     
Elizabeth Huffman       94        86        76        85.33     
Theresa Fields          98        74        61        77.67     
Anna Fleming            95        80        99        91.33     
Christopher Clark       60        95        75        76.67     
Elizabeth Brown         89        74        88        83.67     
Mallory Garcia          59        93        83        78.33     
Carolyn Briggs          79        80        98        85.67     
Micheal Cabrera         59        56        53        56.00     
Bethany Richardson      85        53        69        69.00     
Penny Manning           94        67        87        82.67     
Anthony Dean            97        90        64        83.67     
Gregory Herman          74        89        78        80.33     
Erica Williams          80        83        53        72.00     
Darin Davis             86        83        96        88.33     
Nicole Miller           78        68        76        74.00     
Claudia Mullen          65        86        92        81.00     
Jason Miller            69        91        87        82.33     
Brent Singh             97        57        85        79.67     
Jose Clayton            94        53        66        71.00     
Christina Ingram        80        65        73        72.67     
Brian Castro            84        67        57        69.33     
Eric Collins            59        79        64        67.33     
Thomas Cruz             80        79        88        82.33     
Glen Clark              79        92        80        83.67     
Elizabeth Castillo      82        80        86        82.67     
Scott Ellison           58        99        94        83.67     
John Collins            92        94        91        92.33     
Keith Davis             69        64        93        75.33     
Zachary Baker           52        90        65        69.00     
Andrea Hebert           86        84        53        74.33     
Danielle Martin         52        70        73        65.00     
Becky Harmon            83        59        89        77.00     
Melissa Parsons         60        54        67        60.33     
Brenda Brewer           84        59        87        76.67     
Jacob Carroll           89        98        84        90.33     
Sarah Robinson          79        60        50        63.00     
Michael Cruz            80        88        62        76.67     
Misty Wong              83        62        73        72.67     
Bradley Taylor          98        52        80        76.67     
Manuel Mendez           64        57        75        65.33     
Colin Novak             74        53        62        63.00     
Tanya Mcgrath           73        77        55        68.33     
Jeremy White            63        55        82        66.67     
Sarah Foster            97        51        98        82.00     
Abigail Cline           67        88        67        74.00     
Erik May                83        51        69        67.67     
Rebecca Blanchard       64        89        64        72.33     
Shannon Hall            80        100       78        86.00     
Jason Elliott           94        67        65        75.33     
Heather Maldonado       70        54        56        60.00     
Hunter Kent             89        93        67        83.00     
Kristen Burns           93        97        56        82.00     
Brenda Hicks            71        68        64        67.67     
Lisa Johnson            83        52        66        67.00     
Sara Watson             88        53        85        75.33     
Kimberly Curtis         97        98        78        91.00     
William Smith           69        63        83        71.67     
Sharon Tyler            86        80        60        75.33     
Michael Mack            76        73        71        73.33     
Paul King               55        55        98        69.33     
Robert Clark            71        65        99        78.33     
Edward Crosby           58        51        83        64.00     
Robert Young            88        84        88        86.67     
Ian Sanchez             67        91        84        80.67     
David Moore             84        91        64        79.67     
William Vance           73        83        67        74.33     
Kendra Shaffer          71        72        92        78.33     
Judith Wilson           56        59        62        59.00     
Lisa Williams           57        74        90        73.67     
Tom Arnold              93        86        80        86.33     
Valerie Watts           53        82        61        65.33     
April Reese             68        69        62        66.33     
Brandon Ponce           60        100       66        75.33     
Daniel Mcdaniel         58        95        58        70.33     
Gary Harrington         65        61        66        64.00     
Emily Reed              87        88        78        84.33     
Diane Mann              85        56        99        80.00     
Jeremiah Bryant         79        89        51        73.00     
Anne Simmons            76        58        50        61.33     
Ruben Baker             74        61        65        66.67     
Michele Watson          69        75        78        74.00     
Steve Barry             87        82        86        85.00     
Christina Wong          99        79        52        76.67     
Samuel Gomez            70        86        57        71.00     
Jeremy Larson           75        86        68        76.33     
Gloria Tate             87        62        54        67.67     
Lauren Fox              66        59        88        71.00     
Christopher Harrington  82        95        90        89.00     
Heidi Wright            97        74        99        90.00     
Shirley Fischer         66        67        71        68.00     
Ronald Thompson         59        87        87        77.67     
Melissa Lewis           95        61        76        77.33     
Sara Hays               53        92        81        75.33     
Heidi Kim               85        58        60        67.67     
Michael Spencer         86        75        85        82.00     
Alex Blanchard          51        61        85        65.67     
Tracy Stephenson        50        89        63        67.33     
Willie Jensen           93        51        58        67.33     
Cassandra Reyes         78        64        56        66.00     
George Skinner          59        66        65        63.33     
Maria Zuniga            99        69        89        85.67     
Dennis Harris           94        64        76        78.00     
Stephanie Moreno        58        60        54        57.33     
Christina Hahn          99        93        57        83.00     
Joshua Vincent          55        87        62        68.00     
Nicholas Osborn         59        87        53        66.33     
Tony Mcguire            53        69        89        70.33     
Maureen Figueroa        71        94        69        78.00     
Michael Miller          56        53        94        67.67     
Laura Alexander         65        81        54        66.67     
Aaron Kennedy           72        79        88        79.67     
James Davis             96        54        95        81.67     
Kevin Chavez            68        87        72        75.67     
Melissa Coffey          76        67        100       81.00     
Kimberly Barton         72        100       57        76.33     
Brett Ayala             93        63        53        69.67     
Leah Cortez             72        55        67        64.67     
Kim Chen                96        69        64        76.33     
Pamela Rose             75        75        80        76.67     
Anna Young              70        52        100       74.00     
Christopher Sullivan    99        80        78        85.67     
Robin Holland           78        58        100       78.67     
Kyle Thompson           57        63        51        57.00     
Michael Wolfe           80        87        99        88.67     
Ashley Green            65        76        94        78.33     
Christopher Martin      71        73        58        67.33     
Melissa Martin          54        82        81        72.33     
Michelle Baker          64        92        100       85.33     
Nathan Callahan         86        99        86        90.33     
John Schwartz           98        88        96        94.00     
Victoria Rodriguez      95        55        66        72.00     
Brandon Lopez           76        80        71        75.67     
Thomas Jimenez          84        69        83        78.67     
Tammy Gonzalez          67        87        83        79.00     
Audrey Bush             91        58        53        67.33     
Brandon Boone           93        74        82        83.00     
Charles Patterson       50        74        82        68.67     
Pam Frank               60        54        84        66.00     
Dylan Adkins            53        83        88        74.67     
Casey Tapia             89        61        61        70.33     
Michael Wright          94        57        58        69.67     
Elizabeth Taylor        97        89        58        81.33     
Michael Long            68        61        86        71.67     
Joseph Fisher           96        52        77        75.00     
Justin Mclaughlin       73        58        96        75.67     
Matthew Brooks          51        78        65        64.67     
Valerie Graves          82        87        84        84.33     
Jennifer Sutton         76        74        73        74.33     
Carly Perez             78        56        72        68.67     
Jason Gomez             84        62        71        72.33     
Sharon Burton           64        89        58        70.33     
Robert Brown            59        98        89        82.00     
Matthew Brown           85        89        78        84.00     
Sarah Anderson          81        50        81        70.67     
Melissa Smith           80        69        90        79.67     
Jacob Cooper            68        56        59        61.00     
Tammy Cruz              72        76        65        71.00     
Stephanie Carlson       58        75        76        69.67     
Eric Ford               58        98        99        85.00     
Christopher Patel       97        91        50        79.33     
Stuart Hart             70        82        100       84.00     
Gary Cortez             55        50        86        63.67     
Tommy Luna              63        61        51        58.33     
Christopher Morris      78        56        94        76.00     
Kenneth Clements        72        64        93        76.33     
Todd Brown              86        89        73        82.67     
Sean Robbins            77        80        61        72.67     
Jason Long              69        68        62        66.33     
Jesse Thomas            68        100       79        82.33     
Felicia Anderson        64        93        54        70.33     
Ashley Gibson           95        85        70        83.33     
Laura Sloan             95        89        71        85.00     
Tabitha Fuller          78        55        100       77.67     
Michael Sosa            63        52        56        57.00     
Travis Diaz             92        57        79        76.00     
Justin Baldwin          96        61        80        79.00     
Anna Hansen             72        88        72        77.33     
Kristopher Aguilar      69        84        53        68.67     
Heather Rodriguez       76        85        57        72.67     
Emily Smith             98        67        78        81.00     
Roger Hill              86        87        56        76.33     
Tracey Mitchell         65        93        83        80.33     
Jennifer Richardson     73        69        77        73.00     
Monica Barrett          95        75        98        89.33     
Kevin Diaz              65        74        77        72.00     
Pamela Barrett          67        53        93        71.00     
Kimberly Lee            50        95        97        80.67     
Travis Turner           56        59        67        60.67     
Philip Dodson           100       77        50        75.67     
Jasmine Conrad          62        82        60        68.00     
Samantha Lee            78        69        51        66.00     
Katherine Fitzgerald    91        80        96        89.00     
Angela Campos           55        83        100       79.33     
Christopher Gomez       94        86        83        87.67     
Jeffery Richards        87        67        82        78.67     
Edward Reyes            86        79        75        80.00     
Alison Carrillo         96        59        57        70.67     
Shawn Alexander         87        97        100       94.67     
Sharon Cole             85        81        55        73.67     
Cassandra Cabrera       65        79        81        75.00     
Kenneth Watson          53        50        64        55.67     
Angela Decker           100       79        69        82.67     
Matthew Donovan         76        99        52        75.67     
Brian Zamora            59        57        58        58.00     
Teresa Perez            72        59        59        63.33     
Douglas Baker           85        64        73        74.00     
Karen Hudson            97        65        72        78.00     
Nicholas Hamilton       90        92        91        91.00     
Mary Flores             80        85        87        84.00     
Rachel Skinner          70        64        66        66.67     
Catherine Mckinney      86        89        99        91.33     
Gloria Flynn            98        53        58        69.67     
Elizabeth Ramirez       96        70        67        77.67     
Cynthia Allen           72        97        82        83.67     
Erica Farmer            80        78        80        79.33     
Erica Nunez             84        94        85        87.67     
Brian Thomas            58        58        56        57.33     
Jennifer Olson          63        61        94        72.67     
Melissa Green           97        97        88        94.00     
David Walters           82        69        79        76.67     
Glenn Perry             78        93        61        77.33     
Kristina Torres         79        93        66        79.33     
Joseph Morales          61        93        86        80.00     
Patrick Carson          53        83        58        64.67     
Andrew Friedman         96        54        64        71.33     
Monica Bailey           62        82        72        72.00     
Gloria Haynes           60        85        57        67.33     
Kevin Contreras         59        97        94        83.33     
Chris Gibson            96        83        83        87.33     
Robert Smith            77        52        94        74.33     
Chase Pierce            59        97        94        83.33     
William Perez           64        64        89        72.33     
Edward Murphy           61        85        96        80.67     
Molly Shepherd          94        88        99        93.67     
Michelle Peterson       82        69        84        78.33     
Andrew Turner           70        57        68        65.00     
Melissa Lewis           81        75        63        73.00     
Duane Ferrell           91        61        87        79.67     
Kevin Carroll           62        92        66        73.33     
Charles Black           93        95        83        90.33     
Nicholas White          96        73        88        85.67     
Lisa Grant              51        67        60        59.33     
Patty Powell            66        60        90        72.00     
Sarah Pena              60        82        55        65.67     
